master_individual_id,swid,customer_id,email_address,marketing_effort_key,template_key,title,first_name,middle_initial,last_name,gender,birthday,geography_key,age,facebook_connect_flg,employee_flg,registration_date,registration_affiliate_name,marketing_effort_code_key,registration_flg,affluence,affluent_suburbia,numzip,tenure,postal_code,country,state_province,state_abbreviation,city,dma_code,dma_name,msa_name,age_range,ethnic_code,ethnic_group,ethnic_group_cd,household_income,aerobic_exercise_ind,assimilation_cd,cable_tv_ind,child_age_0to2_present,child_age_3to5_present,child_age_6to10_present,child_age_11to15_present,child_age_16to17_present,card_holder,gas_department_retail_card_holder,travel_entertainment_card_holder,premium_card_holder,dwelling_type_cd,first_individual_age_range_cd,first_individual_education_cd,first_individual_gender_cd,first_individual_occ_cd,home_assessed_value_num,home_equity_available_cd,home_market_value_cd,home_owner_ind,own_rent,household_size_cd,international_travel_ind,investing_grouping_ind,length_of_residence_cd,likely_investors_ind,marital_status,net_worth_cd,number_of_adults,number_of_children,personal_investments_ind,children_present,running_exercise_ind,satellite_dish_tv_ind,second_individual_age_range_cd,second_individual_education_cd,second_individual_gender_cd,stocks_bonds_investment_ind,vacation_travel_rv_ind,vacation_travel_us_ind
KbOPrEW,Carl Ludwig,1761,cmullerr@reference.com,449.99,49,Nunavut,Nora,Carl Ludwig,Carl Ludwig,Female,5/15/2018,449.99,49,Nunavut,KbOPrEW,,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,49,Nunavut,KbOPrEW,1761,cmullerr@reference.com,449.99,F,HJkn19,JLbz10,CZdp77
TggDMvj,Carlos Soltero,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,Amy,Carlos Soltero,Carlos Soltero,Female,2/15/2018,13.48,4.51,Nunavut,TggDMvj,,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,4.51,Nunavut,TggDMvj,1792,mdepaepes@elegantthemes.com,13.48,F,VQcz13,DFni37,ODus27
QdHoAGR,Grant Carroll,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,Johnny,Grant Carroll,Grant Carroll,Male,06-03-18,6.08,1.17,Nunavut,QdHoAGR,,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,1.17,Nunavut,QdHoAGR,2275,nmourguet@tinyurl.com,6.08,M,OQjx11,HWrv58,BZrw14
eVitHMZ,Don Miller,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,Leah,Don Miller,Don Miller,Female,04-08-18,5.98,4.38,Nunavut,eVitHMZ,,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,4.38,Nunavut,eVitHMZ,2277,fzannottiu@dyndns.org,5.98,F,ZRbv90,SZup44,PEyw83
uMwYwRD,Don Miller,2277,aphelipv@wix.com,40.99,19.99,Nunavut,Gilbert,Don Miller,Don Miller,Male,04-06-18,40.99,19.99,Nunavut,uMwYwRD,,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,19.99,Nunavut,uMwYwRD,2277,aphelipv@wix.com,40.99,M,JIqf41,SRxh06,CJel89
vEXtnSE,Alan Barnes,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,Lloyd,Alan Barnes,Alan Barnes,Male,12-09-17,7.31,0.49,Nunavut,vEXtnSE,,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,0.49,Nunavut,vEXtnSE,2532,agleww@sakura.ne.jp,7.31,M,TLbj51,IRps25,FMgu57
nRXQZCd,Alan Barnes,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,Mae,Alan Barnes,Alan Barnes,Male,2/14/2018,20.99,2.5,Nunavut,nRXQZCd,,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,2.5,Nunavut,nRXQZCd,2532,bmagwoodx@wordpress.com,20.99,M,QWsw54,CXyu08,UYer35
EwCzUbV,Jack Garza,2631,lburkilly@npr.org,40.96,1.99,Nunavut,Carlos,Jack Garza,Jack Garza,Male,1/18/2018,40.96,1.99,Nunavut,EwCzUbV,,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,1.99,Nunavut,EwCzUbV,2631,lburkilly@npr.org,40.96,F,LSws52,PExw51,VChi50
lkNjsod,Julia West,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,Eugenia,Julia West,Julia West,Female,12-11-17,95.95,74.35,Nunavut,lkNjsod,,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,74.35,Nunavut,lkNjsod,2757,fjanikowskiz@weebly.com,95.95,M,CGun99,JYhf23,PTkw30
FioUlDB,Eugene Barchas,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,Eva,Eugene Barchas,Eugene Barchas,Male,03-11-18,3.89,7.01,Nunavut,FioUlDB,,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,7.01,Nunavut,FioUlDB,2791,bpummery10@washington.edu,3.89,F,JMud73,YUfk36,OVnu11
RaxBINc,Eugene Barchas,2791,kreardon11@slashdot.org,120.98,30,Nunavut,Norman,Eugene Barchas,Eugene Barchas,Female,09-11-17,120.98,30,Nunavut,RaxBINc,,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,30,Nunavut,RaxBINc,2791,kreardon11@slashdot.org,120.98,M,NTlu47,THtj18,ELad73
ORGzySz,Eugene Barchas,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,Owen,Eugene Barchas,Eugene Barchas,Male,9/19/2017,30.98,5.76,Nunavut,ORGzySz,,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,5.76,Nunavut,ORGzySz,2791,kvandervelden12@usatoday.com,30.98,F,EHqs81,DTyc97,OLud62
edIcMrk,Edward Hooks,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,Lena,Edward Hooks,Edward Hooks,Male,3/20/2018,500.98,26,Nunavut,edIcMrk,,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,26,Nunavut,edIcMrk,2976,aculshew13@tripadvisor.com,500.98,F,SRlg54,CHkg80,WXlx15
JWYIsFc,Brad Eason,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,Jesus,Brad Eason,Brad Eason,Male,7/20/2018,7.84,4.71,Nunavut,JWYIsFc,,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,4.71,Nunavut,JWYIsFc,3232,astuckow14@mozilla.com,7.84,M,BElh60,QRbd74,WBqg34
XCxGDJU,Nicole Hansen,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,Herbert,Nicole Hansen,Nicole Hansen,Male,04-06-18,18.97,9.03,Nunavut,XCxGDJU,,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,9.03,Nunavut,XCxGDJU,3524,ddumphy15@pbs.org,18.97,F,SDdb99,LNly73,XEbc21
DOEFFZs,Dorothy Wardle,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,Arthur,Dorothy Wardle,Dorothy Wardle,Female,10/31/2017,115.99,2.5,Nunavut,DOEFFZs,,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,2.5,Nunavut,DOEFFZs,3908,akynforth16@noaa.gov,115.99,M,CUjy98,TRsq13,VTwp73
YLaZCnb,Aaron Bergman,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,Cory,Aaron Bergman,Aaron Bergman,Female,02-01-18,2.88,0.5,Nunavut,YLaZCnb,,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,0.5,Nunavut,YLaZCnb,4132,pruddiman17@comcast.net,2.88,M,GUqi33,SHpl35,NHkf49
sckMCar,Jim Radford,4612,hortler18@delicious.com,4.48,49,Nunavut,Ruby,Jim Radford,Jim Radford,Male,05-03-18,4.48,49,Nunavut,sckMCar,,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,49,Nunavut,sckMCar,4612,hortler18@delicious.com,4.48,M,NFlc28,TOpy07,IAuq29
yDSuIaU,Annie Cyprus,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,Connor,Annie Cyprus,Annie Cyprus,Male,08-02-18,125.99,7.69,Nunavut,yDSuIaU,,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,7.69,Nunavut,yDSuIaU,4676,cclymer19@seesaa.net,125.99,F,MJya00,SZsq19,KIpd78
pWmPBNJ,Annie Cyprus,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,Edwin,Annie Cyprus,Annie Cyprus,Female,01-10-18,3.75,0.5,Nunavut,pWmPBNJ,,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,0.5,Nunavut,pWmPBNJ,4676,jpolin1a@csmonitor.com,3.75,F,WUsd94,QVal65,KUrc42
FtbDNAj,Annie Cyprus,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,Emilie,Annie Cyprus,Annie Cyprus,Male,07-02-18,12.28,6.47,Nunavut,FtbDNAj,,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,6.47,Nunavut,FtbDNAj,4676,tyair1b@nasa.gov,12.28,M,PEdv78,XQba31,ROgu04
geWgWpP,Annie Cyprus,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,Brett,Annie Cyprus,Annie Cyprus,Male,5/21/2018,155.99,8.99,Nunavut,geWgWpP,,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,8.99,Nunavut,geWgWpP,4676,dburrett1c@barnesandnoble.com,155.99,M,GCvj74,VGdi27,DCzl30
jzetKsW,Annie Cyprus,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,Randall,Annie Cyprus,Annie Cyprus,Male,01-10-18,8.69,2.99,Nunavut,jzetKsW,,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,2.99,Nunavut,jzetKsW,5284,sfullman1d@ustream.tv,8.69,M,KBvh78,RTla89,BImv42
OUprBtF,Clay Rozendal,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,Mason,Clay Rozendal,Clay Rozendal,Male,8/19/2017,31.78,1.99,Nunavut,OUprBtF,,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,1.99,Nunavut,OUprBtF,5316,rperis1e@prlog.org,31.78,F,HZzo24,LCzv90,RVkh14
wAhQBos,Don Jones,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,Dora,Don Jones,Don Jones,Male,11/30/2017,3.98,2.97,Nunavut,wAhQBos,,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,2.97,Nunavut,wAhQBos,5409,cfenix1f@dell.com,3.98,M,XKvp31,AXkv75,WFhg22
kKDcBot,Beth Thompson,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,Douglas,Beth Thompson,Beth Thompson,Male,5/14/2018,5.88,3.04,Nunavut,kKDcBot,,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,3.04,Nunavut,kKDcBot,5506,nseint1g@mozilla.com,5.88,F,GCfg38,YKrg58,TEck99
KLCkVVT,Frank Price,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,Blanche,Frank Price,Frank Price,Male,08-05-18,9.65,6.22,Nunavut,KLCkVVT,,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,6.22,Nunavut,KLCkVVT,5569,abohling1h@paginegialle.it,9.65,M,ZBbk43,BXga77,HKlw76
IdeJjtc,Michelle Lonsdale,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,Catherine,Michelle Lonsdale,Michelle Lonsdale,Male,10-04-17,7.99,5.03,Nunavut,IdeJjtc,,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,5.03,Nunavut,IdeJjtc,5607,hpolding1i@hc360.com,7.99,M,BJky60,NEnv96,ZPvx06
